Symbol|Name|LastSale|MarketCap|IPOyear|Sector|industry|Summary Quote
TFSC|1347 Capital Corp.|9.7|$57.7M|2014|Finance|Business Services|http://www.nasdaq.com/symbol/tfsc
TFSCR|1347 Capital Corp.|0.43|n/a|2014|Finance|Business Services|http://www.nasdaq.com/symbol/tfscr
TFSCU|1347 Capital Corp.|10.27|$42.93M|2014|Finance|Business Services|http://www.nasdaq.com/symbol/tfscu
TFSCW|1347 Capital Corp.|0.235|n/a|2014|Finance|Business Services|http://www.nasdaq.com/symbol/tfscw
PIH|1347 Property Insurance Holdings, Inc.|7.69|$48.89M|2014|Finance|Property-Casualty Insurers|http://www.nasdaq.com/symbol/pih
FLWS|1-800 FLOWERS.COM, Inc.|9.655|$630.11M|1999|Consumer Services|Other Specialty Stores|http://www.nasdaq.com/symbol/flws
FCTY|1st Century Bancshares, Inc|7.65|$78.96M|n/a|Finance|Major Banks|http://www.nasdaq.com/symbol/fcty
FCCY|1st Constitution Bancorp (NJ)|11.59|$86.97M|n/a|Finance|Savings Institutions|http://www.nasdaq.com/symbol/fccy
SRCE|1st Source Corporation|30.8|$976.4M|n/a|Finance|Major Banks|http://www.nasdaq.com/symbol/srce
VNET|21Vianet Group, Inc.|20.99|$1.39B|2011|Technology|Computer Software: Programming, Data Processing|http://www.nasdaq.com/symbol/vnet
XXII|22nd Century Group, Inc|0.7|$49.61M|n/a|Consumer Non-Durables|Farming/Seeds/Milling|http://www.nasdaq.com/symbol/xxii
TWOU|2U, Inc.|37.46|$1.56B|2014|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/twou
DDD|3D Systems Corporation|14.65|$1.64B|n/a|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/ddd
MMM|3M Company|151.24|$94.49B|n/a|Health Care|Medical/Dental Instruments|http://www.nasdaq.com/symbol/mmm
DGLD|3X Inverse Gold ETN Velocityshares|88.6866|$12.06M|n/a|Finance|Investment Bankers/Brokers/Service|http://www.nasdaq.com/symbol/dgld
DSLV|3X Inverse Silver ETN Velocityshares|62.93|$35.68M|n/a|Finance|Investment Bankers/Brokers/Service|http://www.nasdaq.com/symbol/dslv
UGLD|3X Long Gold ETN Velocityshares|8.5701|$8.45M|n/a|Finance|Investment Bankers/Brokers/Service|http://www.nasdaq.com/symbol/ugld
USLV|3X Long Silver ETN Velocityshares|14.55|$28.55M|n/a|Finance|Investment Bankers/Brokers/Service|http://www.nasdaq.com/symbol/uslv
WBAI|500.com Limited|21.13|$882.88M|2013|Consumer Services|Services-Misc. Amusement & Recreation|http://www.nasdaq.com/symbol/wbai
JOBS|51job, Inc.|30.91|$1.83B|2004|Technology|Diversified Commercial Services|http://www.nasdaq.com/symbol/jobs
WUBA|58.com Inc.|56.93|$5.17B|2013|Technology|Computer Software: Programming, Data Processing|http://www.nasdaq.com/symbol/wuba
SIXD|6D Global Technologies, Inc.|5.1|$398.9M|n/a|Consumer Services|Professional Services|http://www.nasdaq.com/symbol/sixd
CAFD|8point3 Energy Partners LP|14.74|$1.05B|2015|Public Utilities|Electric Utilities: Central|http://www.nasdaq.com/symbol/cafd
EGHT|8x8 Inc|8.36|$740.68M|n/a|Public Utilities|Telecommunications Equipment|http://www.nasdaq.com/symbol/eght
AVHI|A V Homes, Inc.|14.43|$322.36M|n/a|Capital Goods|Homebuilding|http://www.nasdaq.com/symbol/avhi
SHLM|A. Schulman, Inc.|35.4|$1.04B|1972|Basic Industries|Major Chemicals|http://www.nasdaq.com/symbol/shlm
AHC|A.H. Belo Corporation|5.11|$110.79M|n/a|Consumer Services|Newspapers/Magazines|http://www.nasdaq.com/symbol/ahc
ATEN|A10 Networks, Inc.|6.95|$433.82M|2014|Technology|Computer Communications Equipment|http://www.nasdaq.com/symbol/aten
AAC|AAC Holdings, Inc.|n/a|n/a|2014|Health Care|Medical Specialities|http://www.nasdaq.com/symbol/aac
AAON|AAON, Inc.|22.92|$1.24B|n/a|Capital Goods|Industrial Machinery/Components|http://www.nasdaq.com/symbol/aaon
AIR|AAR Corp.|27.25|$963.73M|n/a|Capital Goods|Aerospace|http://www.nasdaq.com/symbol/air
AAN|Aaron&#39;s,  Inc.|37.7|$2.74B|n/a|Technology|Diversified Commercial Services|http://www.nasdaq.com/symbol/aan
ABAX|ABAXIS, Inc.|48.74|$1.11B|1992|Capital Goods|Industrial Machinery/Components|http://www.nasdaq.com/symbol/abax
ABB|ABB Ltd|20.81|$46.21B|n/a|Consumer Durables|Electrical Products|http://www.nasdaq.com/symbol/abb
ABT|Abbott Laboratories|50.66|$75.51B|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/abt
ABBV|AbbVie Inc.|69.21|$110.26B|2012|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/abbv
